,Area,Eccentricity,Perimeter,Label
0,271.0,0.8385090002114209,64.76955262170047,1
1,515.0,0.907400535103539,95.01219330881975,2
2,940.0,0.9445462287458407,141.78174593052023,3
3,303.0,0.699356280850706,63.698484809834994,4
4,1.0,0.0,0.0,5
5,368.0,0.7615552743592957,73.94112549695427,6
6,730.0,0.4250609232632651,102.08326112068522,7
7,181.0,0.8327498103872919,51.21320343559643,8
8,409.0,0.8346541329539552,78.18376618407356,9
9,294.0,0.7800180722221544,64.76955262170047,10
10,741.0,0.7090892463463199,104.32590180780451,11
11,742.0,0.8962838567506832,116.84062043356595,12
12,586.0,0.5316186393439327,90.66904755831213,13
13,569.0,0.8671907408654087,95.59797974644667,14
14,791.0,0.9644834951032237,144.16652224137044,15
15,1092.0,0.9171611753741004,153.19595949289334,16
16,1650.0,0.5060873852354458,160.36753236814712,17
17,466.0,0.777559338428323,82.42640687119285,18
18,968.0,0.9197744559537995,141.63961030678928,19
19,828.0,0.640388255158357,112.81118318204308,20
20,582.0,0.6831970622147572,90.42640687119285,21
21,756.0,0.7351504627665248,104.91168824543142,22
22,559.0,0.9220410171560823,101.9827560572969,23
23,801.0,0.8359590476302022,114.46803743153546,24
24,200.0,0.9278977475361615,67.11269837220809,25
25,558.0,0.7316042517220068,89.59797974644665,26
26,540.0,0.38943230100690596,85.84062043356595,27
27,401.0,0.9224474984382588,89.698484809835,28
