,Eccentricity,Perimeter,Area,Label
0,0.8385090002114209,64.76955262170047,271.0,1
1,0.907400535103539,95.01219330881976,515.0,2
2,0.9445462287458407,141.78174593052023,940.0,3
3,0.699356280850706,63.698484809834994,303.0,4
4,0.0,0.0,1.0,5
5,0.7615552743592957,73.94112549695429,368.0,6
6,0.4250609232632651,102.08326112068524,730.0,7
7,0.8327498103872919,51.21320343559643,181.0,8
8,0.8346541329539552,78.18376618407358,409.0,9
9,0.7800180722221544,64.76955262170047,294.0,10
10,0.7090892463463199,104.32590180780451,741.0,11
11,0.8962838567506832,116.84062043356596,742.0,12
12,0.5316186393439327,90.66904755831213,586.0,13
13,0.8671907408654087,95.59797974644667,569.0,14
14,0.9644834951032237,144.16652224137047,791.0,15
15,0.9171611753741004,153.1959594928933,1092.0,16
16,0.5060873852354458,160.36753236814712,1650.0,17
17,0.777559338428323,82.42640687119285,466.0,18
18,0.9197744559537995,141.63961030678928,968.0,19
19,0.640388255158357,112.81118318204308,828.0,20
20,0.6831970622147572,90.42640687119285,582.0,21
21,0.7351504627665248,104.91168824543142,756.0,22
22,0.9220410171560823,101.98275605729688,559.0,23
23,0.8359590476302022,114.46803743153548,801.0,24
24,0.9278977475361615,67.11269837220809,200.0,25
25,0.7316042517220068,89.59797974644665,558.0,26
26,0.38943230100690596,85.84062043356595,540.0,27
27,0.9224474984382588,89.69848480983501,401.0,28
